01.06. 22:05:20.532    ***Logfile for YR Mod client***
01.06. 22:05:20.533    Client version: 2.12.0.0
01.06. 22:05:20.533    Loading settings.
01.06. 22:05:20.558    Failed to load a translation file. Neither C:\Users\Admin\Documents\GitHub\YRCE-REDUX-repository\Resources\Translations\en\ThemeDefault\Translation.ini nor C:\Users\Admin\Documents\GitHub\YRCE-REDUX-repository\Resources\Translations\en\Translation.ini exist.
01.06. 22:05:20.558    Loaded translation: English
01.06. 22:05:20.571    Initializing updater.
01.06. 22:05:20.599    Updater: Initializing updater.
01.06. 22:05:20.601    Warning: No download mirrors found in updater config file or the built-in game info.
01.06. 22:05:20.602    Updater: Update mirror count: 0
01.06. 22:05:20.602    Updater: Running from: clientdx.exe
01.06. 22:05:20.603    OSDescription: Microsoft Windows 10.0.26100 
01.06. 22:05:20.603    OSArchitecture: X64
01.06. 22:05:20.603    ProcessArchitecture: X64
01.06. 22:05:20.604    FrameworkDescription: .NET Framework 4.8.9300.0
01.06. 22:05:20.604    Selected OS profile: WIN810
01.06. 22:05:20.604    Current culture: en-US
01.06. 22:05:21.714    Removing partial custom component downloads.
01.06. 22:05:21.715    Checking for the existence of FinalSun.ini.
01.06. 22:05:21.716    FinalSun settings file exists.
01.06. 22:05:21.736    Writing installation path to the Windows registry.
01.06. 22:05:21.739    Starting background processing of INI files.
01.06. 22:05:21.739    /INI/Base does not exist, skipping background processing of INI files.
01.06. 22:05:21.767    Hardware info: AMD Ryzen 7 7735HS with Radeon Graphics (8 cores) | Video controller: NVIDIA GeForce RTX 4050 Laptop GPU | Total physical memory: 16GB
01.06. 22:05:22.187    Initializing GameClass.
01.06. 22:05:22.336    InitGraphicsMode: 1920x1080
01.06. 22:05:22.352    Entering fullscreen mode with resolution 1920x1080.
01.06. 22:05:23.144    Loading maps from C:\Users\Admin\Documents\GitHub\YRCE-REDUX-repository\INI\MPMaps.ini.
01.06. 22:05:23.441    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.443    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.444    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.445    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.446    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.446    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.447    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.448    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.452    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.453    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.453    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
01.06. 22:05:23.634    Reading statistics.
01.06. 22:05:23.983    Attempting to parse INI/Battle.ini to populate mission list.
01.06. 22:05:23.985    Finished parsing INI/Battle.ini.
01.06. 22:05:23.991    C:\Users\Admin\Documents\GitHub\YRCE-REDUX-repository\Resources\CampaignTagSelector.ini: Base INI file not found! C:\Users\Admin\Documents\GitHub\YRCE-REDUX-repository\Resources\ThemeDefault\GenericWindow.ini
01.06. 22:05:24.143    Checkbox 'chkNavalCombat' has forced value in map - saved settings ignored.
01.06. 22:05:24.149    AssetLoader.LoadSound: Sound not found! getready.wav
01.06. 22:05:24.179    AssetLoader.LoadSound: Sound not found! getready.wav
01.06. 22:05:24.179    AssetLoader.LoadSound: Sound not found! return.wav
01.06. 22:05:24.333    AssetLoader.LoadSound: Sound not found! getready.wav
01.06. 22:05:24.334    AssetLoader.LoadSound: Sound not found! return.wav
01.06. 22:05:24.349    AssetLoader.LoadSound: Sound not found! getready.wav
